Geocodigo,Municipio,UF,Tipo,unidade,Safra,Valor
1100015,Alta Floresta D'Oeste,RO,Area(colhida),ha,2017,31
1100023,Ariquemes,RO,Area(colhida),ha,2017,10
1100031,Cabixi,RO,Area(colhida),ha,2017,0
1100049,Cacoal,RO,Area(colhida),ha,2017,20
1100056,Cerejeiras,RO,Area(colhida),ha,2017,800
1100064,Colorado do Oeste,RO,Area(colhida),ha,2017,50
1100072,Corumbiara,RO,Area(colhida),ha,2017,8
1100080,Costa Marques,RO,Area(colhida),ha,2017,11
1100098,Espigão D'Oeste,RO,Area(colhida),ha,2017,100
1100106,Guajará-Mirim,RO,Area(colhida),ha,2017,8
1100114,Jaru,RO,Area(colhida),ha,2017,13
1100122,Ji-Paraná,RO,Area(colhida),ha,2017,2
1100130,Machadinho D'Oeste,RO,Area(colhida),ha,2017,41
1100148,Nova Brasilândia D'Oeste,RO,Area(colhida),ha,2017,0
1100155,Ouro Preto do Oeste,RO,Area(colhida),ha,2017,69
1100189,Pimenta Bueno,RO,Area(colhida),ha,2017,100
1100205,Porto Velho,RO,Area(colhida),ha,2017,47
1100254,Presidente Médici,RO,Area(colhida),ha,2017,6
1100262,Rio Crespo,RO,Area(colhida),ha,2017,0
1100288,Rolim de Moura,RO,Area(colhida),ha,2017,10
1100296,Santa Luzia D'Oeste,RO,Area(colhida),ha,2017,2000
1100304,Vilhena,RO,Area(colhida),ha,2017,0
1100320,São Miguel do Guaporé,RO,Area(colhida),ha,2017,0
1100338,Nova Mamoré,RO,Area(colhida),ha,2017,10
1100346,Alvorada D'Oeste,RO,Area(colhida),ha,2017,31
1100379,Alto Alegre dos Parecis,RO,Area(colhida),ha,2017,7
1100403,Alto Paraíso,RO,Area(colhida),ha,2017,0
1100452,Buritis,RO,Area(colhida),ha,2017,0
1100502,Novo Horizonte do Oeste,RO,Area(colhida),ha,2017,6
1100601,Cacaulândia,RO,Area(colhida),ha,2017,0
1100700,Campo Novo de Rondônia,RO,Area(colhida),ha,2017,15
1100809,Candeias do Jamari,RO,Area(colhida),ha,2017,30
1100908,Castanheiras,RO,Area(colhida),ha,2017,13
1100924,Chupinguaia,RO,Area(colhida),ha,2017,0
1100940,Cujubim,RO,Area(colhida),ha,2017,0
1101005,Governador Jorge Teixeira,RO,Area(colhida),ha,2017,32
1101104,Itapuã do Oeste,RO,Area(colhida),ha,2017,5
1101203,Ministro Andreazza,RO,Area(colhida),ha,2017,0
1101302,Mirante da Serra,RO,Area(colhida),ha,2017,15
1101401,Monte Negro,RO,Area(colhida),ha,2017,2
1101435,Nova União,RO,Area(colhida),ha,2017,15
1101450,Parecis,RO,Area(colhida),ha,2017,5
1101468,Pimenteiras do Oeste,RO,Area(colhida),ha,2017,0
1101476,Primavera de Rondônia,RO,Area(colhida),ha,2017,40
1101484,São Felipe D'Oeste,RO,Area(colhida),ha,2017,100
1101492,São Francisco do Guaporé,RO,Area(colhida),ha,2017,0
1101500,Seringueiras,RO,Area(colhida),ha,2017,0
1101559,Teixeirópolis,RO,Area(colhida),ha,2017,25
1101609,Theobroma,RO,Area(colhida),ha,2017,0
1101708,Urupá,RO,Area(colhida),ha,2017,5
1101757,Vale do Anari,RO,Area(colhida),ha,2017,20
1101807,Vale do Paraíso,RO,Area(colhida),ha,2017,5
1200013,Acrelândia,AC,Area(colhida),ha,2017,20
1200054,Assis Brasil,AC,Area(colhida),ha,2017,24
1200104,Brasiléia,AC,Area(colhida),ha,2017,18
1200138,Bujari,AC,Area(colhida),ha,2017,70
1200179,Capixaba,AC,Area(colhida),ha,2017,50
1200203,Cruzeiro do Sul,AC,Area(colhida),ha,2017,50
1200252,Epitaciolândia,AC,Area(colhida),ha,2017,15
1200302,Feijó,AC,Area(colhida),ha,2017,20
1200328,Jordão,AC,Area(colhida),ha,2017,25
1200336,Mâncio Lima,AC,Area(colhida),ha,2017,22
1200344,Manoel Urbano,AC,Area(colhida),ha,2017,18
1200351,Marechal Thaumaturgo,AC,Area(colhida),ha,2017,38
1200385,Plácido de Castro,AC,Area(colhida),ha,2017,15
1200393,Porto Walter,AC,Area(colhida),ha,2017,20
1200401,Rio Branco,AC,Area(colhida),ha,2017,50
1200427,Rodrigues Alves,AC,Area(colhida),ha,2017,20
1200435,Santa Rosa do Purus,AC,Area(colhida),ha,2017,12
1200450,Senador Guiomard,AC,Area(colhida),ha,2017,80
1200500,Sena Madureira,AC,Area(colhida),ha,2017,30
1200609,Tarauacá,AC,Area(colhida),ha,2017,80
1200708,Xapuri,AC,Area(colhida),ha,2017,17
1200807,Porto Acre,AC,Area(colhida),ha,2017,21
1300029,Alvarães,AM,Area(colhida),ha,2017,0
1300060,Amaturá,AM,Area(colhida),ha,2017,0
1300086,Anamã,AM,Area(colhida),ha,2017,0
1300102,Anori,AM,Area(colhida),ha,2017,0
1300144,Apuí,AM,Area(colhida),ha,2017,0
1300201,Atalaia do Norte,AM,Area(colhida),ha,2017,2
1300300,Autazes,AM,Area(colhida),ha,2017,0
1300409,Barcelos,AM,Area(colhida),ha,2017,0
1300508,Barreirinha,AM,Area(colhida),ha,2017,0
1300607,Benjamin Constant,AM,Area(colhida),ha,2017,4
1300631,Beruri,AM,Area(colhida),ha,2017,0
1300680,Boa Vista do Ramos,AM,Area(colhida),ha,2017,0
1300706,Boca do Acre,AM,Area(colhida),ha,2017,0
1300805,Borba,AM,Area(colhida),ha,2017,0
1300839,Caapiranga,AM,Area(colhida),ha,2017,0
1300904,Canutama,AM,Area(colhida),ha,2017,0
1301001,Carauari,AM,Area(colhida),ha,2017,8
1301100,Careiro,AM,Area(colhida),ha,2017,0
1301159,Careiro da Várzea,AM,Area(colhida),ha,2017,0
1301209,Coari,AM,Area(colhida),ha,2017,5
1301308,Codajás,AM,Area(colhida),ha,2017,10
1301407,Eirunepé,AM,Area(colhida),ha,2017,105
1301506,Envira,AM,Area(colhida),ha,2017,20
1301605,Fonte Boa,AM,Area(colhida),ha,2017,0
1301654,Guajará,AM,Area(colhida),ha,2017,0
1301704,Humaitá,AM,Area(colhida),ha,2017,10
1301803,Ipixuna,AM,Area(colhida),ha,2017,15
1301852,Iranduba,AM,Area(colhida),ha,2017,0
1301902,Itacoatiara,AM,Area(colhida),ha,2017,0
1301951,Itamarati,AM,Area(colhida),ha,2017,3
1302009,Itapiranga,AM,Area(colhida),ha,2017,0
1302108,Japurá,AM,Area(colhida),ha,2017,0
1302207,Juruá,AM,Area(colhida),ha,2017,0
1302306,Jutaí,AM,Area(colhida),ha,2017,0
1302405,Lábrea,AM,Area(colhida),ha,2017,0
1302504,Manacapuru,AM,Area(colhida),ha,2017,0
1302553,Manaquiri,AM,Area(colhida),ha,2017,0
1302603,Manaus,AM,Area(colhida),ha,2017,0
1302702,Manicoré,AM,Area(colhida),ha,2017,0
1302801,Maraã,AM,Area(colhida),ha,2017,0
1302900,Maués,AM,Area(colhida),ha,2017,15
1303007,Nhamundá,AM,Area(colhida),ha,2017,8
1303106,Nova Olinda do Norte,AM,Area(colhida),ha,2017,0
1303205,Novo Airão,AM,Area(colhida),ha,2017,0
1303304,Novo Aripuanã,AM,Area(colhida),ha,2017,0
1303403,Parintins,AM,Area(colhida),ha,2017,5
1303502,Pauini,AM,Area(colhida),ha,2017,0
1303536,Presidente Figueiredo,AM,Area(colhida),ha,2017,3653
1303569,Rio Preto da Eva,AM,Area(colhida),ha,2017,0
1303601,Santa Isabel do Rio Negro,AM,Area(colhida),ha,2017,0
1303700,Santo Antônio do Içá,AM,Area(colhida),ha,2017,0
1303809,São Gabriel da Cachoeira,AM,Area(colhida),ha,2017,0
1303908,São Paulo de Olivença,AM,Area(colhida),ha,2017,0
1303957,São Sebastião do Uatumã,AM,Area(colhida),ha,2017,0
1304005,Silves,AM,Area(colhida),ha,2017,0
1304062,Tabatinga,AM,Area(colhida),ha,2017,0
1304104,Tapauá,AM,Area(colhida),ha,2017,0
1304203,Tefé,AM,Area(colhida),ha,2017,0
1304237,Tonantins,AM,Area(colhida),ha,2017,4
1304260,Uarini,AM,Area(colhida),ha,2017,0
1304302,Urucará,AM,Area(colhida),ha,2017,0
1304401,Urucurituba,AM,Area(colhida),ha,2017,0
1400027,Amajari,RR,Area(colhida),ha,2017,10
1400050,Alto Alegre,RR,Area(colhida),ha,2017,7
1400100,Boa Vista,RR,Area(colhida),ha,2017,85
1400159,Bonfim,RR,Area(colhida),ha,2017,0
1400175,Cantá,RR,Area(colhida),ha,2017,11
1400209,Caracaraí,RR,Area(colhida),ha,2017,0
1400233,Caroebe,RR,Area(colhida),ha,2017,11
1400282,Iracema,RR,Area(colhida),ha,2017,3
1400308,Mucajaí,RR,Area(colhida),ha,2017,5
1400407,Normandia,RR,Area(colhida),ha,2017,0
1400456,Pacaraima,RR,Area(colhida),ha,2017,2
1400472,Rorainópolis,RR,Area(colhida),ha,2017,67
1400506,São João da Baliza,RR,Area(colhida),ha,2017,20
1400605,São Luiz,RR,Area(colhida),ha,2017,7
1400704,Uiramutã,RR,Area(colhida),ha,2017,10
1500107,Abaetetuba,PA,Area(colhida),ha,2017,250
1500131,Abel Figueiredo,PA,Area(colhida),ha,2017,0
1500206,Acará,PA,Area(colhida),ha,2017,0
1500305,Afuá,PA,Area(colhida),ha,2017,0
1500347,Água Azul do Norte,PA,Area(colhida),ha,2017,0
1500404,Alenquer,PA,Area(colhida),ha,2017,20
1500503,Almeirim,PA,Area(colhida),ha,2017,8
1500602,Altamira,PA,Area(colhida),ha,2017,30
1500701,Anajás,PA,Area(colhida),ha,2017,0
1500800,Ananindeua,PA,Area(colhida),ha,2017,0
1500859,Anapu,PA,Area(colhida),ha,2017,0
1500909,Augusto Corrêa,PA,Area(colhida),ha,2017,0
1500958,Aurora do Pará,PA,Area(colhida),ha,2017,0
1501006,Aveiro,PA,Area(colhida),ha,2017,5
1501105,Bagre,PA,Area(colhida),ha,2017,0
1501204,Baião,PA,Area(colhida),ha,2017,0
1501253,Bannach,PA,Area(colhida),ha,2017,0
1501303,Barcarena,PA,Area(colhida),ha,2017,5
1501402,Belém,PA,Area(colhida),ha,2017,0
1501451,Belterra,PA,Area(colhida),ha,2017,0
1501501,Benevides,PA,Area(colhida),ha,2017,0
1501576,Bom Jesus do Tocantins,PA,Area(colhida),ha,2017,0
1501600,Bonito,PA,Area(colhida),ha,2017,0
1501709,Bragança,PA,Area(colhida),ha,2017,4
1501725,Brasil Novo,PA,Area(colhida),ha,2017,1
1501758,Brejo Grande do Araguaia,PA,Area(colhida),ha,2017,0
1501782,Breu Branco,PA,Area(colhida),ha,2017,0
1501808,Breves,PA,Area(colhida),ha,2017,0
1501907,Bujaru,PA,Area(colhida),ha,2017,0
1501956,Cachoeira do Piriá,PA,Area(colhida),ha,2017,0
1502004,Cachoeira do Arari,PA,Area(colhida),ha,2017,0
1502103,Cametá,PA,Area(colhida),ha,2017,0
1502152,Canaã dos Carajás,PA,Area(colhida),ha,2017,0
1502202,Capanema,PA,Area(colhida),ha,2017,0
1502301,Capitão Poço,PA,Area(colhida),ha,2017,0
1502400,Castanhal,PA,Area(colhida),ha,2017,0
1502509,Chaves,PA,Area(colhida),ha,2017,0
1502608,Colares,PA,Area(colhida),ha,2017,0
1502707,Conceição do Araguaia,PA,Area(colhida),ha,2017,0
1502756,Concórdia do Pará,PA,Area(colhida),ha,2017,0
1502764,Cumaru do Norte,PA,Area(colhida),ha,2017,0
1502772,Curionópolis,PA,Area(colhida),ha,2017,0
1502806,Curralinho,PA,Area(colhida),ha,2017,3
1502855,Curuá,PA,Area(colhida),ha,2017,0
1502905,Curuçá,PA,Area(colhida),ha,2017,0
1502939,Dom Eliseu,PA,Area(colhida),ha,2017,0
1502954,Eldorado do Carajás,PA,Area(colhida),ha,2017,0
1503002,Faro,PA,Area(colhida),ha,2017,7
1503044,Floresta do Araguaia,PA,Area(colhida),ha,2017,0
1503077,Garrafão do Norte,PA,Area(colhida),ha,2017,0
1503093,Goianésia do Pará,PA,Area(colhida),ha,2017,0
1503101,Gurupá,PA,Area(colhida),ha,2017,0
1503200,Igarapé-Açu,PA,Area(colhida),ha,2017,0
1503309,Igarapé-Miri,PA,Area(colhida),ha,2017,10
1503408,Inhangapi,PA,Area(colhida),ha,2017,0
1503457,Ipixuna do Pará,PA,Area(colhida),ha,2017,0
1503507,Irituia,PA,Area(colhida),ha,2017,0
1503606,Itaituba,PA,Area(colhida),ha,2017,20
1503705,Itupiranga,PA,Area(colhida),ha,2017,0
1503754,Jacareacanga,PA,Area(colhida),ha,2017,8
1503804,Jacundá,PA,Area(colhida),ha,2017,0
1503903,Juruti,PA,Area(colhida),ha,2017,12
1504000,Limoeiro do Ajuru,PA,Area(colhida),ha,2017,0
1504059,Mãe do Rio,PA,Area(colhida),ha,2017,0
1504109,Magalhães Barata,PA,Area(colhida),ha,2017,0
1504208,Marabá,PA,Area(colhida),ha,2017,0
1504307,Maracanã,PA,Area(colhida),ha,2017,0
1504406,Marapanim,PA,Area(colhida),ha,2017,0
1504422,Marituba,PA,Area(colhida),ha,2017,0
1504455,Medicilândia,PA,Area(colhida),ha,2017,0
1504505,Melgaço,PA,Area(colhida),ha,2017,0
1504604,Mocajuba,PA,Area(colhida),ha,2017,0
1504703,Moju,PA,Area(colhida),ha,2017,0
1504752,Mojuí dos Campos,PA,Area(colhida),ha,2017,5
1504802,Monte Alegre,PA,Area(colhida),ha,2017,10
1504901,Muaná,PA,Area(colhida),ha,2017,0
1504950,Nova Esperança do Piriá,PA,Area(colhida),ha,2017,0
1504976,Nova Ipixuna,PA,Area(colhida),ha,2017,0
1505007,Nova Timboteua,PA,Area(colhida),ha,2017,0
1505031,Novo Progresso,PA,Area(colhida),ha,2017,5
1505064,Novo Repartimento,PA,Area(colhida),ha,2017,0
1505106,Óbidos,PA,Area(colhida),ha,2017,12
1505205,Oeiras do Pará,PA,Area(colhida),ha,2017,0
1505304,Oriximiná,PA,Area(colhida),ha,2017,4
1505403,Ourém,PA,Area(colhida),ha,2017,0
1505437,Ourilândia do Norte,PA,Area(colhida),ha,2017,0
1505486,Pacajá,PA,Area(colhida),ha,2017,5
1505494,Palestina do Pará,PA,Area(colhida),ha,2017,0
1505502,Paragominas,PA,Area(colhida),ha,2017,0
1505536,Parauapebas,PA,Area(colhida),ha,2017,0
1505551,Pau D'Arco,PA,Area(colhida),ha,2017,0
1505601,Peixe-Boi,PA,Area(colhida),ha,2017,0
1505635,Piçarra,PA,Area(colhida),ha,2017,0
1505650,Placas,PA,Area(colhida),ha,2017,30
1505700,Ponta de Pedras,PA,Area(colhida),ha,2017,0
1505809,Portel,PA,Area(colhida),ha,2017,0
1505908,Porto de Moz,PA,Area(colhida),ha,2017,15
1506005,Prainha,PA,Area(colhida),ha,2017,15
1506104,Primavera,PA,Area(colhida),ha,2017,0
1506112,Quatipuru,PA,Area(colhida),ha,2017,0
1506138,Redenção,PA,Area(colhida),ha,2017,0
1506161,Rio Maria,PA,Area(colhida),ha,2017,0
1506187,Rondon do Pará,PA,Area(colhida),ha,2017,0
1506195,Rurópolis,PA,Area(colhida),ha,2017,35
1506203,Salinópolis,PA,Area(colhida),ha,2017,0
1506302,Salvaterra,PA,Area(colhida),ha,2017,0
1506351,Santa Bárbara do Pará,PA,Area(colhida),ha,2017,0
1506500,Santa Izabel do Pará,PA,Area(colhida),ha,2017,0
1506559,Santa Luzia do Pará,PA,Area(colhida),ha,2017,0
1506583,Santa Maria das Barreiras,PA,Area(colhida),ha,2017,0
1506609,Santa Maria do Pará,PA,Area(colhida),ha,2017,0
1506708,Santana do Araguaia,PA,Area(colhida),ha,2017,35
1506807,Santarém,PA,Area(colhida),ha,2017,15
1506906,Santarém Novo,PA,Area(colhida),ha,2017,0
1507003,Santo Antônio do Tauá,PA,Area(colhida),ha,2017,0
1507102,São Caetano de Odivelas,PA,Area(colhida),ha,2017,0
1507151,São Domingos do Araguaia,PA,Area(colhida),ha,2017,0
1507201,São Domingos do Capim,PA,Area(colhida),ha,2017,0
1507300,São Félix do Xingu,PA,Area(colhida),ha,2017,0
1507409,São Francisco do Pará,PA,Area(colhida),ha,2017,0
1507458,São Geraldo do Araguaia,PA,Area(colhida),ha,2017,0
1507466,São João da Ponta,PA,Area(colhida),ha,2017,0
1507474,São João de Pirabas,PA,Area(colhida),ha,2017,0
1507508,São João do Araguaia,PA,Area(colhida),ha,2017,0
1507607,São Miguel do Guamá,PA,Area(colhida),ha,2017,0
1507706,São Sebastião da Boa Vista,PA,Area(colhida),ha,2017,0
1507755,Sapucaia,PA,Area(colhida),ha,2017,0
1507805,Senador José Porfírio,PA,Area(colhida),ha,2017,4
1507904,Soure,PA,Area(colhida),ha,2017,0
1507953,Tailândia,PA,Area(colhida),ha,2017,0
1507961,Terra Alta,PA,Area(colhida),ha,2017,0
1507979,Terra Santa,PA,Area(colhida),ha,2017,4
1508001,Tomé-Açu,PA,Area(colhida),ha,2017,0
1508035,Tracuateua,PA,Area(colhida),ha,2017,0
1508050,Trairão,PA,Area(colhida),ha,2017,8
1508084,Tucumã,PA,Area(colhida),ha,2017,0
1508100,Tucuruí,PA,Area(colhida),ha,2017,0
1508126,Ulianópolis,PA,Area(colhida),ha,2017,12000
1508159,Uruará,PA,Area(colhida),ha,2017,0
1508209,Vigia,PA,Area(colhida),ha,2017,0
1508308,Viseu,PA,Area(colhida),ha,2017,0
1508357,Vitória do Xingu,PA,Area(colhida),ha,2017,6
1508407,Xinguara,PA,Area(colhida),ha,2017,5
1600055,Serra do Navio,AP,Area(colhida),ha,2017,0
1600105,Amapá,AP,Area(colhida),ha,2017,0
1600154,Pedra Branca do Amapari,AP,Area(colhida),ha,2017,0
1600204,Calçoene,AP,Area(colhida),ha,2017,0
1600212,Cutias,AP,Area(colhida),ha,2017,0
1600238,Ferreira Gomes,AP,Area(colhida),ha,2017,0
1600253,Itaubal,AP,Area(colhida),ha,2017,0
1600279,Laranjal do Jari,AP,Area(colhida),ha,2017,0
1600303,Macapá,AP,Area(colhida),ha,2017,50
1600402,Mazagão,AP,Area(colhida),ha,2017,0
1600501,Oiapoque,AP,Area(colhida),ha,2017,0
1600535,Porto Grande,AP,Area(colhida),ha,2017,36
1600550,Pracuúba,AP,Area(colhida),ha,2017,0
1600600,Santana,AP,Area(colhida),ha,2017,0
1600709,Tartarugalzinho,AP,Area(colhida),ha,2017,0
1600808,Vitória do Jari,AP,Area(colhida),ha,2017,0
1700251,Abreulândia,TO,Area(colhida),ha,2017,10
1700301,Aguiarnópolis,TO,Area(colhida),ha,2017,0
1700350,Aliança do Tocantins,TO,Area(colhida),ha,2017,0
1700400,Almas,TO,Area(colhida),ha,2017,16
1700707,Alvorada,TO,Area(colhida),ha,2017,0
1701002,Ananás,TO,Area(colhida),ha,2017,0
1701051,Angico,TO,Area(colhida),ha,2017,17
1701101,Aparecida do Rio Negro,TO,Area(colhida),ha,2017,0
1701309,Aragominas,TO,Area(colhida),ha,2017,10
1701903,Araguacema,TO,Area(colhida),ha,2017,8
1702000,Araguaçu,TO,Area(colhida),ha,2017,15
1702109,Araguaína,TO,Area(colhida),ha,2017,20
1702158,Araguanã,TO,Area(colhida),ha,2017,0
1702208,Araguatins,TO,Area(colhida),ha,2017,0
1702307,Arapoema,TO,Area(colhida),ha,2017,0
1702406,Arraias,TO,Area(colhida),ha,2017,30
1702554,Augustinópolis,TO,Area(colhida),ha,2017,0
1702703,Aurora do Tocantins,TO,Area(colhida),ha,2017,35
1702901,Axixá do Tocantins,TO,Area(colhida),ha,2017,0
1703008,Babaçulândia,TO,Area(colhida),ha,2017,40
1703057,Bandeirantes do Tocantins,TO,Area(colhida),ha,2017,0
1703073,Barra do Ouro,TO,Area(colhida),ha,2017,0
1703107,Barrolândia,TO,Area(colhida),ha,2017,0
1703206,Bernardo Sayão,TO,Area(colhida),ha,2017,0
1703305,Bom Jesus do Tocantins,TO,Area(colhida),ha,2017,2400
1703602,Brasilândia do Tocantins,TO,Area(colhida),ha,2017,0
1703701,Brejinho de Nazaré,TO,Area(colhida),ha,2017,0
1703800,Buriti do Tocantins,TO,Area(colhida),ha,2017,0
1703826,Cachoeirinha,TO,Area(colhida),ha,2017,0
1703842,Campos Lindos,TO,Area(colhida),ha,2017,10
1703867,Cariri do Tocantins,TO,Area(colhida),ha,2017,0
1703883,Carmolândia,TO,Area(colhida),ha,2017,0
1703891,Carrasco Bonito,TO,Area(colhida),ha,2017,0
1703909,Caseara,TO,Area(colhida),ha,2017,0
1704105,Centenário,TO,Area(colhida),ha,2017,0
1704600,Chapada de Areia,TO,Area(colhida),ha,2017,0
1705102,Chapada da Natividade,TO,Area(colhida),ha,2017,18
1705508,Colinas do Tocantins,TO,Area(colhida),ha,2017,0
1705557,Combinado,TO,Area(colhida),ha,2017,45
1705607,Conceição do Tocantins,TO,Area(colhida),ha,2017,20
1706001,Couto Magalhães,TO,Area(colhida),ha,2017,0
1706100,Cristalândia,TO,Area(colhida),ha,2017,0
1706258,Crixás do Tocantins,TO,Area(colhida),ha,2017,0
1706506,Darcinópolis,TO,Area(colhida),ha,2017,0
1707009,Dianópolis,TO,Area(colhida),ha,2017,60
1707108,Divinópolis do Tocantins,TO,Area(colhida),ha,2017,30
1707207,Dois Irmãos do Tocantins,TO,Area(colhida),ha,2017,0
1707306,Dueré,TO,Area(colhida),ha,2017,40
1707405,Esperantina,TO,Area(colhida),ha,2017,0
1707553,Fátima,TO,Area(colhida),ha,2017,0
1707652,Figueirópolis,TO,Area(colhida),ha,2017,0
1707702,Filadélfia,TO,Area(colhida),ha,2017,0
1708205,Formoso do Araguaia,TO,Area(colhida),ha,2017,21
1708254,Tabocão,TO,Area(colhida),ha,2017,0
1708304,Goianorte,TO,Area(colhida),ha,2017,0
1709005,Goiatins,TO,Area(colhida),ha,2017,30
1709302,Guaraí,TO,Area(colhida),ha,2017,0
1709500,Gurupi,TO,Area(colhida),ha,2017,18
1709807,Ipueiras,TO,Area(colhida),ha,2017,0
1710508,Itacajá,TO,Area(colhida),ha,2017,0
1710706,Itaguatins,TO,Area(colhida),ha,2017,0
1710904,Itapiratins,TO,Area(colhida),ha,2017,0
1711100,Itaporã do Tocantins,TO,Area(colhida),ha,2017,0
1711506,Jaú do Tocantins,TO,Area(colhida),ha,2017,0
1711803,Juarina,TO,Area(colhida),ha,2017,0
1711902,Lagoa da Confusão,TO,Area(colhida),ha,2017,0
1711951,Lagoa do Tocantins,TO,Area(colhida),ha,2017,0
1712009,Lajeado,TO,Area(colhida),ha,2017,0
1712157,Lavandeira,TO,Area(colhida),ha,2017,20
1712405,Lizarda,TO,Area(colhida),ha,2017,0
1712454,Luzinópolis,TO,Area(colhida),ha,2017,0
1712504,Marianópolis do Tocantins,TO,Area(colhida),ha,2017,6
1712702,Mateiros,TO,Area(colhida),ha,2017,0
1712801,Maurilândia do Tocantins,TO,Area(colhida),ha,2017,0
1713205,Miracema do Tocantins,TO,Area(colhida),ha,2017,0
1713304,Miranorte,TO,Area(colhida),ha,2017,0
1713601,Monte do Carmo,TO,Area(colhida),ha,2017,0
1713700,Monte Santo do Tocantins,TO,Area(colhida),ha,2017,25
1713809,Palmeiras do Tocantins,TO,Area(colhida),ha,2017,0
1713957,Muricilândia,TO,Area(colhida),ha,2017,0
1714203,Natividade,TO,Area(colhida),ha,2017,60
1714302,Nazaré,TO,Area(colhida),ha,2017,0
1714880,Nova Olinda,TO,Area(colhida),ha,2017,0
1715002,Nova Rosalândia,TO,Area(colhida),ha,2017,5
1715101,Novo Acordo,TO,Area(colhida),ha,2017,0
1715150,Novo Alegre,TO,Area(colhida),ha,2017,40
1715259,Novo Jardim,TO,Area(colhida),ha,2017,40
1715507,Oliveira de Fátima,TO,Area(colhida),ha,2017,0
1715705,Palmeirante,TO,Area(colhida),ha,2017,0
1715754,Palmeirópolis,TO,Area(colhida),ha,2017,0
1716109,Paraíso do Tocantins,TO,Area(colhida),ha,2017,14
1716208,Paranã,TO,Area(colhida),ha,2017,26
1716307,Pau D'Arco,TO,Area(colhida),ha,2017,0
1716505,Pedro Afonso,TO,Area(colhida),ha,2017,29480
1716604,Peixe,TO,Area(colhida),ha,2017,22
1716653,Pequizeiro,TO,Area(colhida),ha,2017,0
1716703,Colméia,TO,Area(colhida),ha,2017,0
1717008,Pindorama do Tocantins,TO,Area(colhida),ha,2017,0
1717206,Piraquê,TO,Area(colhida),ha,2017,14
1717503,Pium,TO,Area(colhida),ha,2017,50
1717800,Ponte Alta do Bom Jesus,TO,Area(colhida),ha,2017,50
1717909,Ponte Alta do Tocantins,TO,Area(colhida),ha,2017,0
1718006,Porto Alegre do Tocantins,TO,Area(colhida),ha,2017,5
1718204,Porto Nacional,TO,Area(colhida),ha,2017,0
1718303,Praia Norte,TO,Area(colhida),ha,2017,0
1718402,Presidente Kennedy,TO,Area(colhida),ha,2017,0
1718451,Pugmil,TO,Area(colhida),ha,2017,20
1718501,Recursolândia,TO,Area(colhida),ha,2017,0
1718550,Riachinho,TO,Area(colhida),ha,2017,0
1718659,Rio da Conceição,TO,Area(colhida),ha,2017,20
1718709,Rio dos Bois,TO,Area(colhida),ha,2017,0
1718758,Rio Sono,TO,Area(colhida),ha,2017,0
1718808,Sampaio,TO,Area(colhida),ha,2017,0
1718840,Sandolândia,TO,Area(colhida),ha,2017,22
1718865,Santa Fé do Araguaia,TO,Area(colhida),ha,2017,0
1718881,Santa Maria do Tocantins,TO,Area(colhida),ha,2017,0
1718899,Santa Rita do Tocantins,TO,Area(colhida),ha,2017,0
1718907,Santa Rosa do Tocantins,TO,Area(colhida),ha,2017,0
1719004,Santa Tereza do Tocantins,TO,Area(colhida),ha,2017,0
1720002,Santa Terezinha do Tocantins,TO,Area(colhida),ha,2017,0
1720101,São Bento do Tocantins,TO,Area(colhida),ha,2017,0
1720150,São Félix do Tocantins,TO,Area(colhida),ha,2017,0
1720200,São Miguel do Tocantins,TO,Area(colhida),ha,2017,0
1720259,São Salvador do Tocantins,TO,Area(colhida),ha,2017,0
1720309,São Sebastião do Tocantins,TO,Area(colhida),ha,2017,0
1720499,São Valério,TO,Area(colhida),ha,2017,28
1720655,Silvanópolis,TO,Area(colhida),ha,2017,0
1720804,Sítio Novo do Tocantins,TO,Area(colhida),ha,2017,0
1720853,Sucupira,TO,Area(colhida),ha,2017,0
1720903,Taguatinga,TO,Area(colhida),ha,2017,150
1720937,Taipas do Tocantins,TO,Area(colhida),ha,2017,16
1720978,Talismã,TO,Area(colhida),ha,2017,0
1721000,Palmas,TO,Area(colhida),ha,2017,59
1721109,Tocantínia,TO,Area(colhida),ha,2017,0
1721208,Tocantinópolis,TO,Area(colhida),ha,2017,0
1721257,Tupirama,TO,Area(colhida),ha,2017,4200
1721307,Tupiratins,TO,Area(colhida),ha,2017,0
1722081,Wanderlândia,TO,Area(colhida),ha,2017,0
1722107,Xambioá,TO,Area(colhida),ha,2017,3
2100055,Açailândia,MA,Area(colhida),ha,2017,0
2100105,Afonso Cunha,MA,Area(colhida),ha,2017,13
2100154,Água Doce do Maranhão,MA,Area(colhida),ha,2017,4
2100204,Alcântara,MA,Area(colhida),ha,2017,0
2100303,Aldeias Altas,MA,Area(colhida),ha,2017,7182
2100402,Altamira do Maranhão,MA,Area(colhida),ha,2017,0
2100436,Alto Alegre do Maranhão,MA,Area(colhida),ha,2017,0
2100477,Alto Alegre do Pindaré,MA,Area(colhida),ha,2017,0
2100501,Alto Parnaíba,MA,Area(colhida),ha,2017,0
2100550,Amapá do Maranhão,MA,Area(colhida),ha,2017,0
2100600,Amarante do Maranhão,MA,Area(colhida),ha,2017,6
2100709,Anajatuba,MA,Area(colhida),ha,2017,0
2100808,Anapurus,MA,Area(colhida),ha,2017,152
2100832,Apicum-Açu,MA,Area(colhida),ha,2017,0
